"ID","Call ID","着信日時","切断日時","通話秒数","着信先番号","発信元番号","シナリオID","シナリオ名","パートナーID","パートナー名","アカウントID","アカウント名","完了フラグ","★最初のガイダンス音声","”1or2”新規OR既存","”1-2”折り返しOR”SMS”","【000：着信通知】","""1-6""折り返し予約：電話番号入力","""1-7""折り返し予約：電話番号通知","""1-8""折返し時間帯選択","""1-9""：折返し時間帯通知","”1-10”：受付完了案内","【999：エラーガイダンス】","""2-1""電話番号入力","""2-2""SMS送信","”2-3”：受付完了案内","3いきなり終了"
"900020","S000DBBB4","2026-06-01 19:27:22","2026-06-01 19:27:36","14","03-0000-0000","0120-000-102","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","","","","","","","","","","","","",""
"900021","S000DBBB5","2026-06-01 20:36:06","2026-06-01 20:36:12","6","03-0000-0000","070-5175-4321","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","","","","","","","","","","","","",""
"900001","S000DBBA1","2026-06-01 20:36:39","2026-06-01 20:37:15","36","03-0000-0000","0120-000-101","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","","","","","","","","","","","","1"
"900008","S000DBBA8","2026-06-01 20:49:09","2026-06-01 20:49:10","1","03-0000-0000","090-7193-2164","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","","","","","","","","","","","","","",""
"900022","S000DBBB6","2026-06-01 22:36:42","2026-06-01 22:37:56","74","03-0000-0000","0120-000-102","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","既存","""1-2-1""折り返し予約受付","200:customer_id=200022&result=OK:result=OK","09059069253","200:customer_id=200022&result=OK:result=OK","10:00～12:00","200:customer_id=200022&result=OK:result=OK","1","","","","",""
"900013","S000DBBAD","2026-06-01 22:38:47","2026-06-01 22:40:26","99","03-0000-0000","080-8579-2229","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200013&result=OK:result=OK","07022956768","200:customer_id=200013&result=OK:result=OK","12:00～15:00","200:customer_id=200013&result=OK:result=OK","1","","","","",""
"900003","S000DBBA3","2026-06-01 22:40:49","2026-06-01 22:40:49","0","03-0000-0000","0120-000-103","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","","","","","","","","","","","","","",""
"900018","S000DBBB2","2026-06-01 22:55:37","2026-06-01 22:55:39","2","03-0000-0000","070-3737-2581","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","","","","","","","","","","","","","",""
"900010","S000DBBAA","2026-06-01 23:06:02","2026-06-01 23:07:17","75","03-0000-0000","070-9146-4825","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200010&result=OK:result=OK","09085469676","200:customer_id=200010&result=OK:result=OK","10:00～12:00","200:customer_id=200010&result=OK:result=OK","1","","","","",""
"900004","S000DBBA4","2026-06-01 23:11:27","2026-06-01 23:12:53","86","03-0000-0000","070-3093-6686","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200004&result=OK:result=OK","08073294798","200:customer_id=200004&result=OK:result=OK","10:00～12:00","200:customer_id=200004&result=OK:result=OK","1","","","","",""
"900011","S000DBBAB","2026-06-01 23:16:56","2026-06-01 23:17:58","62","03-0000-0000","0120-000-102","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200011&result=OK:result=OK","09052804588","200:customer_id=200011&result=OK:result=OK","15:00～18:00","200:customer_id=200011&result=OK:result=OK","1","","","","",""
"900005","S000DBBA5","2026-06-02 00:12:50","2026-06-02 00:14:25","95","03-0000-0000","080-7785-3377","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","既存","""1-2-1""折り返し予約受付","200:customer_id=200005&result=OK:result=OK","08085526068","200:customer_id=200005&result=OK:result=OK","12:00～15:00","200:customer_id=200005&result=OK:result=OK","1","","","","",""
"900016","S000DBBB0","2026-06-02 01:05:48","2026-06-02 01:05:48","0","03-0000-0000","070-8333-8368","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","","","","","","","","","","","","","",""
"900006","S000DBBA6","2026-06-02 01:44:14","2026-06-02 01:45:37","83","03-0000-0000","080-2566-8245","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","既存","""1-2-1""折り返し予約受付","200:customer_id=200006&result=OK:result=OK","07042475249","200:customer_id=200006&result=OK:result=OK","10:00～12:00","200:customer_id=200006&result=OK:result=OK","1","","","","",""
"900012","S000DBBAC","2026-06-02 01:45:40","2026-06-02 01:46:37","57","03-0000-0000","0120-000-101","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","既存","""1-2-1""折り返し予約受付","200:customer_id=200012&result=OK:result=OK","07013368655","200:customer_id=200012&result=OK:result=OK","12:00～15:00","200:customer_id=200012&result=OK:result=OK","1","","","","",""
"900019","S000DBBB3","2026-06-02 01:55:56","2026-06-02 01:55:58","2","03-0000-0000","070-6086-9392","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","","","","","","","","","","","","","",""
"900007","S000DBBA7","2026-06-02 05:30:17","2026-06-02 05:30:18","1","03-0000-0000","070-1625-1720","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","","","","","","","","","","","","","",""
"900017","S000DBBB1","2026-06-02 06:52:24","2026-06-02 06:53:09","45","03-0000-0000","080-1464-4198","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","新規","""1-2-1""折り返し予約受付","","","","","","","","","","",""
"900015","S000DBBAF","2026-06-02 07:02:18","2026-06-02 07:03:48","90","03-0000-0000","070-5800-5895","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","既存","""1-2-1""折り返し予約受付","200:customer_id=200015&result=OK:result=OK","09033269777","200:customer_id=200015&result=OK:result=OK","時間指定無し","200:customer_id=200015&result=OK:result=OK","1","","","","",""
"900002","S000DBBA2","2026-06-02 07:16:11","2026-06-02 07:17:08","57","03-0000-0000","0120-000-101","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200002&result=OK:result=OK","07079439768","200:customer_id=200002&result=OK:result=OK","時間指定無し","200:customer_id=200002&result=OK:result=OK","1","","","","",""
"900009","S000DBBA9","2026-06-02 08:32:27","2026-06-02 08:34:17","110","03-0000-0000","0800-000-201","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","既存","""1-2-1""折り返し予約受付","200:customer_id=200009&result=OK:result=OK","08027469984","200:customer_id=200009&result=OK:result=OK","10:00～12:00","200:customer_id=200009&result=OK:result=OK","1","","","","",""
"900014","S000DBBAE","2026-06-02 08:45:44","2026-06-02 08:45:57","13","03-0000-0000","0120-000-103","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","0","1","","","","","","","","","","","","",""
"900039","S000DBBC7","2026-06-02 19:08:10","2026-06-02 19:08:41","31","03-0000-0000","070-3794-5957","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","","","","","","","","","","","","1"
"900042","S000DBBCA","2026-06-02 19:37:46","2026-06-02 19:38:51","65","03-0000-0000","0800-000-201","10000","サンプル連携フロー_v1.0.0","1","サンプル株式会社","1","サンプル株式会社","1","1","新規","""1-2-1""折り返し予約受付","200:customer_id=200042&result=OK:result=OK","09018356345","200:customer_id=200042&result=OK:result=OK","15:00～18:00","200:customer_id=200042&result=OK:result=OK","1","","","","",""
